citing_country,citing_year,n_citations,scr_any,scr_majority
AT,2017,2,0.5,0
AT,2018,10,0.4,0
AT,2019,11,0.6363636363636364,0.45454545454545453
AT,2020,10,0.4,0.2
BE,2018,1,0,0
CH,2016,2,0.5,0.5
CH,2017,5,0,0
CH,2018,4,0,0
CH,2019,5,0.2,0
CH,2020,4,0.75,0.25
DE,2016,22,0.2727272727272727,0.2727272727272727
DE,2017,32,0.40625,0.375
DE,2018,84,0.38095238095238093,0.2976190476190476
DE,2019,83,0.43373493975903615,0.37349397590361444
DE,2020,82,0.45121951219512196,0.3902439024390244
ES,2018,3,1,0
LU,2019,3,0.6666666666666666,0
NL,2020,1,1,0
NO,2019,1,0,0
RU,2017,2,0.5,0
RU,2018,2,1,0.5
RU,2019,1,1,1
RU,2020,3,1,1
